sample1;;
Wavelength (nm);Abs;
700,0263672;0,07871347666;
699,0186768;0,07973151654;
698,0106201;0,08042690158;
697,0021973;0,08144228905;
695,9934692;0,08221880347;
694,984436;0,08291067183;
693,9750366;0,08385902643;
692,965332;0,08480386436;
691,9553223;0,08571433276;
690,9449463;0,08656302094;
689,9342651;0,08699198067;
689,067688;0,08785571903;
688,0563965;0,08832380921;
687,0447998;0,08839204907;
686,0328369;0,08949530125;
685,0206299;0,09016882628;
684,0079956;0,09038057923;
682,9951172;0,09080436826;
681,9818726;0,0909453854;
680,9683228;0,0916140601;
679,9544678;0,09246654809;
678,9402466;0,09292431176;
678,0706787;0,09319143742;
677,0559082;0,09393212199;
676,0407715;0,09437409788;
675,0253906;0,09447016567;
674,0096436;0,09513369203;
672,9935303;0,09544919431;
671,9771729;0,09565254301;
670,9604492;0,09588109702;
669,9434814;0,09654251486;
669,0714722;0,09661918133;
668,053894;0,09697750956;
667,0359497;0,09713316709;
666,0177002;0,09749944508;
664,9992065;0,09707532078;
663,9803467;0,09737493843;
662,9611206;0,09698718786;
661,9416504;0,09751826525;
661,0675659;0,09748920053;
660,0474854;0,09749250859;
659,0270996;0,09750449657;
658,0064697;0,09800007194;
656,9854126;0,0977846384;
655,9641113;0,0980540216;
654,9425049;0,09802443534;
654,0665894;0,09841941297;
653,0444336;0,09845165908;
652,0219116;0,09890092164;
650,9990845;0,0990742147;
649,9759521;0,09948284924;
648,9525757;0,09924406558;
647,928833;0,09979765117;
647,0510864;0,1001536325;
646,0267944;0,1001408845;
645,0021973;0,1007187292;
643,9772949;0,1006966606;
642,9520874;0,1009513661;
642,0731201;0,1010540947;
641,0473633;0,101533398;
640,0212402;0,1015330404;
638,994873;0,1020637825;
637,9682007;0,1021144763;
636,9412231;0,1023811251;
636,06073;0,1025942639;
635,0332031;0,1027880535;
634,0053711;0,1029487625;
632,9772339;0,1027320102;
631,9487915;0,1031348109;
631,0670166;0,1034552306;
630,0380249;0,1039008573;
629,0087891;0,1038975343;
627,979187;0,1038265824;
626,9493408;0,1036845073;
626,0663452;0,1042710394;
625,0358887;0,1044727266;
624,005188;0,1042605117;
622,9741821;0,1044989377;
621,9428711;0,1046432853;
621,0586548;0,1042814031;
620,0267944;0,1040561199;
618,9946289;0,1044887677;
617,9622192;0,1041389927;
616,9295044;0,1040886864;
616,0440674;0,104725413;
615,0108032;0,1044698954;
613,9772339;0,1046996787;
612,9433594;0,1045830473;
612,0570068;0,1043246239;
611,022583;0,1043437421;
609,987915;0,1043672487;
608,9529419;0,1046125889;
608,0656128;0,1044659764;
607,0300903;0,104487516;
605,9943237;0,1042443141;
604,958252;0,1043645814;
604,0700073;0,1044547558;
603,0333862;0,1045347005;
601,996521;0,1045199484;
600,9593506;0,1047282442;
600,0701294;0,1046364382;
599,0324097;0,1044907719;
597,9944458;0,1045354903;
596,9561768;0,1048440263;
596,06604;0,1046692133;
595,0272217;0,1046225354;
593,9881592;0,1048113406;
592,9488525;0,1046508923;
592,0577393;0,1046252698;
591,0178833;0,1046045497;
589,9777832;0,1047983244;
588,9373169;0,104661867;
588,0453491;0,1046528369;
587,0043945;0,1045006216;
585,9631958;0,1045021638;
585,0704956;0,1043795571;
584,0288086;0,104504995;
582,9867554;0,1041030288;
581,944519;0,1041648164;
581,0509033;0,1041009575;
580,0081177;0,1038668901;
578,9650879;0,1036609113;
578,0708008;0,1036260128;
577,0272217;0,1036872715;
575,9833984;0,1033263206;
574,93927;0,1032251194;
574,0441284;0,1029442027;
572,9995117;0,1027577817;
571,9546509;0,1026351154;
571,0588379;0,1026189178;
570,0134277;0,1024319157;
568,9677734;0,1020263284;
568,0712891;0,1018804908;
567,0251465;0,1015163288;
565,9787598;0,1014999747;
564,9320679;0,1010160074;
564,034668;0,1008093208;
562,9874878;0,1006889269;
561,9400635;0,1000312641;
561,0420532;0,1000732481;
559,9940796;0,09974752367;
558,9459229;0,09908764809;
558,0472412;0,09905779362;
556,9985352;0,0986430645;
555,949585;0,09823577106;
555,050293;0,09804996848;
554,0008545;0,09781184047;
552,9511719;0,09742677212;
552,0512085;0,09739356488;
551,0010376;0,09704495966;
549,9505615;0,09652440995;
549,0499878;0,09625028819;
