w,i,
451.9400024,50.33538818,
452.980011,54.15758896,
454.019989,58.4914093,
455.0700073,62.85924149,
455.9700012,67.46855927,
457.0100098,73.21340179,
458.0499878,79.23399353,
458.9500122,85.12724304,
460,92.15028381,
461.0599976,100.0786972,
461.9599915,109.7147827,
463.0299988,118.7453842,
463.9299927,128.4124908,
465,139.2857819,
466.0599976,151.4650574,
466.9599915,165.0358276,
468.0299988,177.4953918,
468.9299927,191.5717468,
470,206.1409302,
471.0599976,222.0139618,
471.9599915,237.4649353,
473.0299988,252.734314,
473.9299927,268.4582825,
475,284.4552307,
476.0599976,300.0310974,
476.9599915,315.6656799,
478.0299988,331.8848572,
478.9299927,347.9004822,
480,363.1846008,
481.0400085,379.0188904,
481.9400024,396.0343323,
482.980011,412.7485962,
484.019989,431.0334473,
485.0700073,447.8406067,
485.9700012,464.0245056,
487.0100098,479.8204651,
488.0499878,495.0640564,
488.9500122,508.4776306,
490,522.4273682,
491.0400085,537.3572388,
491.9400024,550.8980713,
492.980011,563.5931396,
494.019989,576.8442993,
495.0700073,589.4031982,
495.9700012,600.2056274,
497.0100098,610.5498047,
498.0499878,618.1928101,
498.9500122,625.7318115,
500,631.8514404,
501.0400085,639.9590454,
501.9400024,645.0446777,
502.980011,649.7799072,
504.019989,652.4387207,
505.0700073,655.4328003,
505.9700012,657.3939209,
507.0100098,658.9741211,
508.0499878,660.5630493,
508.9500122,662.2370605,
510,662.2376709,
511.0400085,660.6016235,
511.9400024,658.2372437,
512.9799805,658.472229,
514.0200195,657.6489868,
515.0700073,654.0385742,
515.9699707,650.2854004,
517.0100098,648.328064,
518.0499878,645.4545898,
518.9500122,640.366272,
520,636.036377,
521.039978,631.5469971,
521.9400024,626.8776855,
522.9799805,620.9515381,
524.0200195,615.6137085,
525.0700073,610.9005127,
525.9699707,605.2875366,
527.0100098,597.2200928,
528.0499878,591.0061035,
528.9500122,585.6794434,
530,580.4862061,
531.039978,573.7733765,
531.9400024,567.2830811,
532.9799805,560.0458984,
534.0200195,552.906189,
535.0700073,546.5266724,
535.9699707,540.265564,
537.0100098,533.789856,
538.0499878,526.6279907,
538.9500122,518.8660278,
540,509.8965149,
541.0200195,501.6002502,
542.0499878,495.5564575,
542.9400024,488.8463745,
543.9699707,481.0709839,
545,473.2311401,
546.0200195,464.8491211,
547.0499878,455.8760986,
547.9400024,447.3313599,
548.9699707,439.1929626,
550,430.9692383,
551.039978,421.9317322,
551.9400024,414.138916,
552.9799805,407.5570068,
554.0200195,401.3650513,
555.0700073,393.144165,
555.9699707,385.7767944,
557.0100098,379.3229065,
558.0499878,371.9206848,
558.9500122,364.2322998,
560,357.5403137,
561.0200195,350.9792175,
562.0499878,344.9961243,
562.9400024,338.0211792,
563.9699707,329.9544678,
565,322.511322,
566.0200195,316.1639404,
567.0499878,309.3274841,
567.9400024,301.9117126,
568.9699707,296.0404053,
570,289.7251892,
571.0200195,282.6310425,
572.0499878,276.2084656,
572.9400024,270.3647156,
573.9699707,264.1862488,
575,257.0083923,
576.0200195,250.1818848,
577.0499878,243.476181,
577.9400024,238.0852814,
578.9699707,232.4558105,
580,227.9077148,
581.0200195,222.7676086,
582.0499878,217.7254791,
582.9400024,213.0908356,
583.9699707,208.5317383,
585,204.4297028,
586.0200195,199.1990509,
587.0499878,195.0453491,
587.9400024,189.7417908,
588.9699707,185.7477722,
590,181.8073273,
591.0100098,177.764389,
592.0200195,172.0024261,
593.039978,167.1599121,
594.0499878,163.5155945,
595.0700073,159.7496948,
595.9400024,155.4364777,
596.9500122,151.5834656,
597.9699707,148.7536469,
598.9799805,144.7219543,
600,139.9483032,
601.0200195,135.958313,
602.0499878,132.9676361,
602.9400024,129.9137726,
603.9699707,126.1560287,
605,123.0316544,
606.0200195,119.7167816,
607.0499878,116.9105072,
607.9400024,114.2512665,
608.9699707,111.6672516,
610,108.8557129,
611.0100098,106.1801376,
612.0200195,103.2334213,
613.039978,100.3067703,
614.0499878,97.33061218,
615.0700073,95.08834839,
615.9400024,92.76084137,
616.9500122,90.51161194,
617.9699707,87.8677063,
618.9799805,85.67858124,
620,83.13113403,
621.0100098,80.27912903,
622.0200195,77.30464935,
623.039978,74.78623199,
624.0499878,72.8105545,
625.0700073,71.04063416,
625.9400024,69.07627869,
626.9500122,66.86096954,
627.9699707,64.92507172,
628.9799805,62.8981514,
630,61.33897018,
631.0100098,59.29692459,
632.0200195,57.26138687,
633.039978,55.20301437,
634.0499878,53.84645844,
635.0700073,52.40459061,
635.9400024,51.17381287,
636.9500122,49.76531219,
637.9699707,48.11130524,
638.9799805,46.7133255,
640,45.48651886,
641.0100098,43.96450806,
642.0200195,42.66918564,
643.039978,41.23065186,
644.0499878,39.86718369,
645.0700073,38.63901138,
645.9400024,37.94588852,
646.9500122,36.59593201,
647.9699707,35.27427673,
