w;i;w1;i1;
650,0008545;-8,691638504E-5;650,0008545;-0,003326055128;
648,9813843;-0,0002020706161;648,9813843;-0,002863827627;
647,9616089;0,0002287109673;647,9616089;-0,003012542613;
646,9414673;-0,0004972435418;646,9414673;-0,003372754203;
646,0668335;-2,148482235E-5;646,0668335;-0,002908365102;
645,0462036;-0,0001778002043;645,0462036;-0,002818051027;
644,0252075;-0,0002856870997;644,0252075;-0,002985035069;
643,0039063;5,265525033E-5;643,0039063;-0,002958862809;
641,9822998;-2,795594628E-5;641,9822998;-0,002630522242;
640,9604492;-0,0002592999663;640,9604492;-0,003098035697;
639,9382324;-0,0002439843665;639,9382324;-0,002928678179;
639,0618286;-0,0001655868546;639,0618286;-0,002637983765;
638,0390625;-7,718509733E-5;638,0390625;-0,002866193419;
637,0159912;-0,0006682754611;637,0159912;-0,003176522441;
635,9926758;-0,0002073488722;635,9926758;-0,002991513582;
634,9689941;-7,495929458E-5;634,9689941;-0,003247646848;
633,9450073;-7,407932571E-5;633,9450073;-0,002988942899;
633,0671387;-0,0001593765483;633,0671387;-0,003013827838;
632,0426025;-0,0002313589212;632,0426025;-0,003230072325;
631,0177612;-0,0005672568805;631,0177612;-0,002997220727;
629,9926758;-0,0007995024789;629,9926758;-0,003385545453;
628,9672852;-0,0002986213949;628,9672852;-0,003224882064;
627,9415894;-0,000311865675;627,9415894;-0,003490532981;
627,0621338;-9,110905376E-5;627,0621338;-0,003214141587;
626,0358887;-1,972465907E-5;626,0358887;-0,002836670727;
625,0093384;-0,0004555611231;625,0093384;-0,003128825454;
623,9824829;-0,0006122890627;623,9824829;-0,003173695644;
622,9553223;-0,0004393214767;622,9553223;-0,003196874168;
621,9279175;-0,0005541754654;621,9279175;-0,003279607743;
621,0469971;6,772297638E-5;621,0469971;-0,003099475056;
620,019043;-0,0004544233088;620,019043;-0,003587587737;
618,9907837;-8,676110156E-5;618,9907837;-0,003092638217;
617,9622192;-1,387465727E-5;617,9622192;-0,003039636882;
616,9333496;-0,0004886074457;616,9333496;-0,00323433755;
616,0512085;-0,0007472024881;616,0512085;-0,003480209969;
615,0218506;-0,0006939657615;615,0218506;-0,003072281601;
613,9921265;-0,0007021325873;613,9921265;-0,003476255341;
612,9621582;-0,0009634417365;612,9621582;-0,00327431527;
611,9318848;-0,0003410431091;611,9318848;-0,003128517186;
611,048584;-0,0006547835656;611,048584;-0,003409585916;
610,0177612;-0,000464973622;610,0177612;-0,003083693795;
608,9866333;-0,000242639042;608,9866333;-0,003404089715;
607,9552612;-0,0007861179765;607,9552612;-0,00375740719;
607,0709839;-0,0003971162369;607,0709839;-0,003454632591;
606,0390625;-0,0004877800238;606,0390625;-0,00335199968;
605,006897;-0,0002809789439;605,006897;-0,003235827666;
603,9744263;-0,0003987196833;603,9744263;-0,003259311197;
602,9416504;-0,0002749254927;602,9416504;-0,003336227499;
602,0561523;-0,0004122195533;602,0561523;-0,003162028734;
601,0228882;-0,0003517513687;601,0228882;-0,003321020165;
599,9892578;-7,775448466E-5;599,9892578;-0,003226680681;
598,9553833;-0,0003514409764;598,9553833;-0,003355801338;
598,0690308;-0,0004742825113;598,0690308;-0,003311206819;
597,0346069;-0,0004058576014;597,0346069;-0,003495925339;
595,999939;-0,0005024665152;595,999939;-0,003304116428;
594,9649658;-0,0005616727867;594,9649658;-0,003387908451;
593,9297485;-0,0004780577146;593,9297485;-0,003366127145;
593,0421753;-0,0007111263112;593,0421753;-0,003825613996;
592,0064087;-0,0007897354662;592,0064087;-0,003817762248;
590,9703979;-0,0004107196;590,9703979;-0,003505785717;
589,934082;-0,0002761672367;589,934082;-0,003293429501;
589,0455322;-0,0004105127009;589,0455322;-0,003608587664;
588,008728;-0,0003823744482;588,008728;-0,003716190578;
586,9716187;-0,0002620422456;586,9716187;-0,003473738674;
585,9342041;-0,0005107920733;585,9342041;-0,003666653531;
585,0447998;-0,0003709945013;585,0447998;-0,003395356936;
584,006897;-0,0003384565352;584,006897;-0,003572697053;
582,96875;-0,0004333219549;582,96875;-0,003571156645;
581,9302368;-0,0003459575528;581,9302368;-0,003638006514;
581,039917;-7,765096234E-5;581,039917;-0,003224265296;
580,0009766;-0,0004612500197;580,0009766;-0,003760948544;
578,961731;-0,0003642698575;578,961731;-0,003539063036;
578,0707397;-0,0004325461341;578,0707397;-0,003765208647;
577,0310059;-0,0004497169866;577,0310059;-0,0037160879;
575,9909668;-0,000458819326;575,9909668;-0,003698634915;
574,9506836;-0,0004503375967;574,9506836;-0,003976462409;
574,0587769;-0,0002007251751;574,0587769;-0,003700020956;
573,0180054;-0,0001624299621;573,0180054;-0,003558884375;
571,9769287;-3,489288429E-5;571,9769287;-0,003291066037;
570,9356079;6,51080918E-5;570,9356079;-0,003335713875;
570,0427856;-0,0004312531382;570,0427856;-0,003698583692;
569,0009766;-0,0005289939581;569,0009766;-0,004015141167;
567,9588623;-0,0003311623295;567,9588623;-0,003478720551;
567,0654297;-0,0003320417891;567,0654297;-0,003540962934;
566,0228271;-0,0003067439247;566,0228271;-0,003394843312;
564,9799194;-0,0003482337052;564,9799194;-0,003503988264;
563,9367676;-0,0004235984234;563,9367676;-0,003580450546;
563,0424805;-0,0001720040746;563,0424805;-0,003634772263;
561,9988403;-0,0004731964727;561,9988403;-0,003638982074;
560,954895;-0,0001885124802;560,954895;-0,003667012788;
560,0599365;-0,0004742825113;560,0599365;-0,003838956356;
559,015564;-0,0002402071113;559,015564;-0,003642473137;
557,9708862;-0,0001355695422;557,9708862;-0,003598165;
556,9259644;-0,0003955127613;556,9259644;-0,003790408606;
556,0301514;-0,0002172842214;556,0301514;-0,003584763734;
554,9847412;-0,0003558380122;554,9847412;-0,003740520682;
553,9390259;-0,0003004321479;553,9390259;-0,00392079819;
553,0425415;-0,0001282201556;553,0425415;-0,003597856732;
551,9963989;-0,0004429935361;551,9963989;-0,004077819642;
550,9500122;-0,0002524183656;550,9500122;-0,003554468276;
550,0528564;-0,0005584153696;550,0528564;-0,003754327539;
549,0059814;-0,0001822507475;549,0059814;-0,003581477562;
547,9588013;-0,0003387669276;547,9588013;-0,003682362149;
547,0610352;-0,0004568540608;547,0610352;-0,003680976108;
546,0133667;-0,0004133057373;546,0133667;-0,003758177161;
544,9655151;-0,000348595815;544,9655151;-0,003708336735;
544,0670776;-0,0002660779865;544,0670776;-0,003797131591;
543,0187378;-0,0001453512668;543,0187378;-0,003693090985;
