w,i
340,222.872329711914
341.070007324219,221.740676879883
342,219.211074829102
343.070007324219,222.572143554687
344,221.787231445313
345.070007324219,225.026519775391
346,228.126892089844
347.070007324219,233.398651123047
348,237.065322875977
349.070007324219,239.366973876953
350,244.179931640625
351.070007324219,251.555892944336
352,258.908416748047
353.070007324219,264.4619140625
354,269.06103515625
355.070007324219,276.2861328125
356,282.727569580078
357.070007324219,290.649475097656
358,296.337341308594
359.070007324219,305.774322509766
360,313.431091308594
361.070007324219,320.021820068359
362,325.980224609375
363.070007324219,332.925231933594
364,337.761413574219
365.070007324219,346.202819824219
366,355.973602294922
367.070007324219,365.107727050781
368,373.050323486328
369.070007324219,382.816192626953
370,392.624542236328
371.070007324219,402.703094482422
372,411.369934082031
373.070007324219,423.720642089844
374,432.027709960937
375.070007324219,438.195831298828
376,445.629180908203
377.070007324219,454.537567138672
378,462.945983886719
379.070007324219,471.576782226562
380,475.840881347656
381.070007324219,484.084625244141
382,492.199157714844
383.070007324219,499.710418701172
384,505.6298828125
385.070007324219,513.309509277344
386,516.598205566406
387.070007324219,522.519592285156
388,529.450622558594
389.070007324219,538.235107421875
390,542.4921875
391.059997558594,549.449340820313
391.959991455078,554.752319335937
393.029998779297,559.123962402344
393.929992675781,562.743041992188
395,569.499450683594
396.059997558594,572.511474609375
396.959991455078,578.554626464844
398.029998779297,579.945251464844
398.929992675781,584.868103027344
400,587.659484863281
401.070007324219,594.075134277344
402,593.907409667969
403.070007324219,600.664367675781
404,604.777587890625
405.070007324219,603.029968261719
406,605.276184082031
407.070007324219,608.514770507812
408,608.064575195313
409.070007324219,608.942565917969
410,614.204711914062
411.059997558594,611.561767578125
411.959991455078,611.148315429688
413.029998779297,606.422790527344
413.929992675781,611.5478515625
415,610.399230957031
416.059997558594,609.103149414062
416.959991455078,608.845825195313
418.029998779297,609.819274902344
418.929992675781,607.28271484375
420,609.617126464844
421.070007324219,610.107421875
422,607.758239746094
423.070007324219,606.347045898438
424,602.935974121094
425.070007324219,599.3408203125
426,592.220275878906
427.070007324219,587.506042480469
428,580.035522460937
429.070007324219,573.133972167969
430,564.549621582031
431.059997558594,558.750793457031
431.959991455078,551.675476074219
433.029998779297,546.536865234375
433.929992675781,537.990051269531
435,531.835388183594
436.059997558594,522.156799316406
436.959991455078,518.041259765625
438.029998779297,510.000396728516
438.929992675781,504.329986572266
440,495.167053222656
441.059997558594,488.177276611328
441.959991455078,482.636291503906
443.029998779297,470.944610595703
443.929992675781,461.784149169922
445,449.732971191406
446.059997558594,442.067749023438
446.959991455078,432.425811767578
448.029998779297,421.62353515625
448.929992675781,411.288726806641
450,396.657745361328
451.059997558594,384.9921875
451.959991455078,371.468933105469
453.029998779297,357.088592529297
453.929992675781,344.617218017578
455,330.119171142578
456.059997558594,312.2392578125
456.959991455078,300.834289550781
458.029998779297,283.754943847656
458.929992675781,272.390563964844
460,260.775787353516
461.059997558594,247.461120605469
461.959991455078,235.824020385742
463.029998779297,222.382705688477
463.929992675781,209.16552734375
465,194.368728637695
466.059997558594,183.295394897461
466.959991455078,169.217041015625
468.029998779297,157.526916503906
468.929992675781,147.972427368164
470,135.066223144531
471.059997558594,126.490745544434
471.959991455078,116.633239746094
473.029998779297,105.694290161133
473.929992675781,96.8365097045898
475,89.4839401245117
476.059997558594,79.4435043334961
476.959991455078,74.2024154663086
478.029998779297,66.1232223510742
478.929992675781,58.8415946960449
480,52.2555389404297
481.040008544922,46.3073959350586
481.940002441406,41.837646484375
482.980010986328,38.1276588439941
484.019989013672,34.8945465087891
485.070007324219,31.788688659668
485.970001220703,29.8735198974609
487.010009765625,27.3632621765137
488.049987792969,25.0584583282471
488.950012207031,23.1952056884766
490,22.2554244995117

Sample 1
Collection Time: 10.09.2024 15:11:54
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY15160001
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        340.00
Stop (nm)                         490.00
Em. Wavelength (nm)               512.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     20
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 10.09.2024 15:09:14
Method Modifications:
Scan mode: Changed: 10.09.2024 15:11:25, Old:Emission, New:Excitation
Em. Slit Width (nm): Changed: 10.09.2024 15:11:25, Old:5, New:20
User Delta Stop Changed: 10.09.2024 15:11:25, Old: 450.00, New: 512.00
User Delta Increment Changed: 10.09.2024 15:11:25, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 10.09.2024 15:11:25, Old: 350.00, New: 340.00
Emission Wavelength Changed: 10.09.2024 15:11:25, Old: 400.00, New: 512.00
Stop Wavelength Changed: 10.09.2024 15:11:25, Old: 600.00, New: 490.00
End Method Modifications

