base;;ex;;
Wavelength (nm);Abs;Wavelength (nm);Abs;
599,9916992;0,1174511984;599,9916992;0,1713728905;
598,9547119;0,1175333411;598,9547119;0,172070533;
598,0656738;0,1170169786;598,0656738;0,1725645214;
597,0281372;0,1169951484;597,0281372;0,1736170948;
595,9903564;0,1169028804;595,9903564;0,1743342578;
594,9522705;0,1166476235;594,9522705;0,1753852516;
594,0623169;0,116662249;594,0623169;0,1764899343;
593,0236816;0,1166001484;593,0236816;0,1773557663;
591,9848022;0,1160668358;591,9848022;0,1791259348;
590,9456787;0,116092205;590,9456787;0,1809483171;
590,0547485;0,1158529669;590,0547485;0,1829119921;
589,0150757;0,1156572402;589,0150757;0,1856275499;
587,9751587;0,1153981537;587,9751587;0,1881543547;
586,9349365;0,115231052;586,9349365;0,1916354299;
586,0430908;0,1147450954;586,0430908;0,1958861053;
585,0023193;0,1147163436;585,0023193;0,2009799033;
583,9613037;0,1145087555;583,9613037;0,2073662132;
583,0687866;0,1139634699;583,0687866;0,2133747786;
582,0272827;0,1138167307;582,0272827;0,2209677398;
580,9854736;0,1133640781;580,9854736;0,22911717;
579,9434204;0,1131595969;579,9434204;0,2384501696;
579,0499878;0,1128158271;579,0499878;0,2491311729;
578,0073853;0,1124835312;578,0073853;0,2603139579;
576,9645386;0,1120751873;576,9645386;0,2717988789;
576,0704346;0,111612834;576,0704346;0,2828079462;
575,0270996;0,1114630029;575,0270996;0,2942764759;
573,9834595;0,1112065762;573,9834595;0,3051672578;
572,9395752;0,1106989086;572,9395752;0,3153488338;
572,0446167;0,1106651798;572,0446167;0,3240014315;
571,0001831;0,1100243926;571,0001831;0,3317677677;
569,9555054;0,1096378118;569,9555054;0,3374903798;
569,0598755;0,1093763635;569,0598755;0,3406562507;
568,0147095;0,1089257523;568,0147095;0,3432232738;
566,9692383;0,1084091887;566,9692383;0,3448317051;
566,072937;0,1080870852;566,072937;0,3454228938;
565,0270386;0,1074836776;565,0270386;0,3453209996;
563,980835;0,1072086766;563,980835;0,3454370201;
562,9343262;0,1068041697;562,9343262;0,3454572856;
562,0371704;0,1061542481;562,0371704;0,3459755778;
560,9902344;0,1057733074;560,9902344;0,3476061821;
559,9429932;0,1051843762;559,9429932;0,3512665629;
559,045166;0,1046840027;559,045166;0,3551402986;
557,9974365;0,1039357111;557,9974365;0,3624829948;
556,9494629;0,1035564467;556,9494629;0,370448947;
556,0509644;0,1031820476;556,0509644;0,379566282;
555,0025024;0,1024755687;555,0025024;0,3940878212;
553,9537964;0,1020602137;553,9537964;0,4092237651;
553,0546875;0,1017685384;553,0546875;0,4226767123;
552,0054321;0,1011776924;552,0054321;0,4406200647;
550,9559937;0,1006345525;550,9559937;0,4567753375;
550,0562134;0,1000143811;550,0562134;0,4685187638;
549,0062866;0,09944229573;549,0062866;0,4824973345;
547,9560547;0,09893382341;547,9560547;0,4937747121;
547,0556641;0,09874599427;547,0556641;0,5001696348;
546,0049438;0,09846004099;546,0049438;0,5042306781;
544,9540405;0,0982035771;544,9540405;0,5046445727;
544,0529785;0,09804841131;544,0529785;0,5034818053;
543,0015869;0,09783580154;543,0015869;0,4989046752;
541,9498901;0,09771583974;541,9498901;0,4922612906;
541,0482178;0,09807085991;541,0482178;0,4860891402;
539,9960938;0,09788184613;539,9960938;0,4777984917;
538,9436646;0,0978230238;538,9436646;0,471427083;
538,0413818;0,09791541845;538,0413818;0,4676782787;
536,9885254;0,09806115925;536,9885254;0,4631026685;
535,9353638;0,09832010418;535,9353638;0,4608021379;
535,0324707;0,09848880768;535,0324707;0,462648958;
533,9788818;0,09877225012;533,9788818;0,4662986696;
532,9249878;0,09952617437;532,9249878;0,4723680019;
532,0214844;0,09974231571;532,0214844;0,4793581069;
530,9671631;0,1000885665;530,9671631;0,4911717176;
530,0632324;0,1004153863;530,0632324;0,502489388;
529,0084839;0,1010392979;529,0084839;0,5122360587;
527,9534302;0,1020217761;527,9534302;0,5227661729;
527,0488892;0,1022688076;527,0488892;0,529278338;
525,9934082;0,1024649814;525,9934082;0,53374511;
524,9376221;0,1034040526;524,9376221;0,5366402268;
524,0325317;0,1039043069;524,0325317;0,5356279612;
522,9763184;0,1046080738;522,9763184;0,5309190154;
522,0708008;0,1049371362;522,0708008;0,5248665214;
521,0140991;0,1054965109;521,0140991;0,5154343843;
519,9572144;0,1059737429;519,9572144;0,5052024722;
519,0510864;0,1067379639;519,0510864;0,4941586256;
517,9937134;0,1074859649;517,9937134;0,4840823114;
516,9360962;0,1079918444;516,9360962;0,4735894203;
516,0293579;0,1084233448;516,0293579;0,4669787586;
514,9713135;0,1089202315;514,9713135;0,4609082937;
514,064209;0,1093165949;514,064209;0,4574287832;
513,0056763;0,1097629815;513,0056763;0,4558270872;
511,9468994;0,1102866679;511,9468994;0,4565616846;
511,0392151;0,1106835455;511,0392151;0,4588351846;
509,980011;0,1109530702;509,980011;0,4621625543;
509,0719299;0,1111900583;509,0719299;0,4652168453;
508,0122681;0,1115149036;508,0122681;0,4688350558;
506,9523621;0,1117207557;506,9523621;0,4711618721;
506,0437012;0,1120197996;506,0437012;0,4711174667;
504,9833679;0,1121638566;504,9833679;0,4689387679;
504,0743103;0,1123993918;504,0743103;0,4657949805;
503,0135498;0,1125086844;503,0135498;0,4598620236;
501,9525146;0,1127042696;501,9525146;0,4515049756;
501,0428772;0,1128233448;501,0428772;0,4422932565;
499,9814148;0,112857081;499,9814148;0,4324255586;
499,0714111;0,1130044982;499,0714111;0,4246000648;
498,0095215;0,1129436567;498,0095215;0,415812552;
496,9473877;0,1129491627;496,9473877;0,4079739749;
496,0368042;0,1129770353;496,0368042;0,4011396766;
494,9742432;0,1128490567;494,9742432;0,3953204453;
494,0632935;0,1126331389;494,0632935;0,3921260238;
493,0003052;0,1125137508;493,0003052;0,3904642165;
491,9370728;0,1128289849;491,9370728;0,3896168172;
491,0255432;0,1132198274;491,0255432;0,3897971809;
489,9618835;0,1127359495;489,9618835;0,3896206021;
489,0499878;0,1123652235;489,0499878;0,3890740573;
487,9859009;0,1124689057;487,9859009;0,3879402578;
487,0736389;0,1127194762;487,0736389;0,3868040442;
486,0091248;0,1123911068;486,0091248;0,3836716712;
484,944397;0,1116020828;484,944397;0,3787104487;
484,0315552;0,1123511717;484,0315552;0,37495175;
482,9664001;0,1127771288;482,9664001;0,369589597;
482,0532227;0,1127609834;482,0532227;0,3654574752;
480,9876099;0,1124944985;480,9876099;0,3595695198;
480,0740662;0,1126474962;480,0740662;0,3549261391;
479,0080566;0,1131011844;479,0080566;0,3501842618;
477,941803;0,1135597825;477,941803;0,3473176658;
477,02771;0,1140735596;477,02771;0,3456276953;
475,9610596;0,1147151962;475,9610596;0,3444583416;
475,0466003;0,1152130961;475,0466003;0,3439669013;
473,9795227;0,1160190254;473,9795227;0,3441457152;
473,0647278;0,1166625246;473,0647278;0,3442979157;
471,9972229;0,1173727736;471,9972229;0,3445523977;
470,9295044;0,1182900146;470,9295044;0,3446694613;
470,0141602;0,1189229339;470,0141602;0,3445537686;
468,9460449;0,1197908297;468,9460449;0,3440529108;
468,0303345;0,1206022277;468,0303345;0,3428741395;
466,961792;0,1217485294;466,961792;0,3419694602;
466,0457153;0,1226898655;466,0457153;0,3405529857;
464,9767761;0,1234098077;464,9767761;0,3384200633;
464,0603638;0,1243621409;464,0603638;0,3378562331;
462,9910278;0,1251328588;462,9910278;0,3364360332;
462,0742798;0,1259291172;462,0742798;0,3354949653;
461,0045166;0,1267068535;461,0045166;0,3346921504;
459,9345398;0,1277896911;459,9345398;0,3347123265;
459,0172424;0,1285535097;459,0172424;0,334813267;
457,9468689;0,1292229444;457,9468689;0,3352119029;
457,0292358;0,1297127753;457,0292358;0,3349456191;
455,9584656;0,130570814;455,9584656;0,3353668451;
455,0404663;0,1315444261;455,0404663;0,3360130787;
453,9692993;0,1323845387;453,9692993;0,335850209;
453,0509949;0,1329404861;453,0509949;0,335765034;
451,9794006;0,1340253651;451,9794006;0,3354819417;
451,0607605;0,1348459274;451,0607605;0,3348961174;
449,9888;0,1358154565;449,9888;0,3340545893;
449,0697937;0,1364584714;449,0697937;0,3335699141;
447,9974365;0,1372951418;447,9974365;0,332996875;
446,9248657;0,1381829679;446,9248657;0,3325619102;
446,0053406;0,1390934289;446,0053406;0,3322190046;
444,932373;0,1400753856;444,932373;0,3321355283;
444,0125122;0,1408769637;444,0125122;0,3320501149;
442,9391785;0,1416907012;442,9391785;0,3321400285;
442,0189819;0,14232108;442,0189819;0,332138598;
440,9452515;0,1435635686;440,9452515;0,3322551548;
440,0247498;0,1446921974;440,0247498;0,3323885798;
