XLabel,Wavenumber
YLabel,Response
FileType,Single Beam
DisplayDirection,20300
PeakDirection,20312
0.000000,-0.336626,0.373865
0.120531,-2.066660,2.133366
0.241062,-2.259007,2.311218
0.361593,-1.220465,1.240016
0.482124,-1.379680,1.391019
0.602655,-0.907392,0.891750
0.723186,-1.077073,1.040744
0.843717,-0.907566,0.950004
0.964248,-0.963334,1.072862
1.084779,-1.033710,1.081101
1.205311,-0.924350,0.985925
1.325842,-1.149578,1.260444
1.446373,-1.089129,1.167207
1.566904,-1.335412,1.303122
1.687435,-1.342320,1.306410
1.807966,-1.423069,1.367970
1.928497,-1.397864,1.372749
2.049028,-1.282338,1.456963
2.169559,-1.382303,1.405052
2.290090,-1.364350,1.180250
2.410621,-1.389984,1.303341
2.531152,-1.212359,1.219925
2.651683,-1.299269,0.996465
2.772214,-1.192714,0.830193
2.892745,-0.948070,1.035898
3.013276,-0.845842,0.850227
3.133807,-0.617961,0.504156
3.254338,-0.504566,0.489309
3.374869,-0.259238,0.371592
3.495401,-0.066365,0.147246
3.615932,0.126306,-0.290723
3.736463,0.291319,-0.355262
3.856994,0.515415,-0.773079
3.977525,0.705171,-1.002977
4.098056,0.765628,-0.793142
4.218587,0.930051,-1.141735
4.339118,1.007150,-1.342052
4.459649,1.122934,-1.266399
4.580180,1.143864,-1.048793
4.700711,1.202991,-1.248399
4.821242,1.262880,-1.397379
4.941773,1.311989,-1.189743
5.062304,1.346201,-1.276016
5.182835,1.253471,-1.483429
5.303366,1.314410,-1.411912
5.423897,1.237225,-1.256573
5.544428,1.207096,-1.503418
5.664959,1.265191,-1.364246
5.785491,1.236126,-1.350104
5.906022,1.229705,-1.410926
6.026553,1.265094,-1.150016
6.147084,1.227561,-1.102108
6.267615,1.105148,-0.959794
6.388146,1.107301,-1.179551
6.508677,1.039071,-1.098611
6.629208,1.040708,-0.952346
6.749739,0.970248,-1.112423
6.870270,0.929011,-0.844606
6.990801,0.963953,-0.847984
7.111332,0.879498,-0.969578
7.231863,0.911177,-0.876609
7.352394,0.783271,-0.776220
7.472925,0.726979,-0.769746
7.593456,0.700622,-0.816734
7.713987,0.683433,-0.583232
7.834518,0.721665,-0.443401
7.955049,0.663073,-0.837986
8.075581,0.708751,-0.867007
8.196112,0.658582,-0.545535
8.316643,0.663664,-0.526046
8.437174,0.638972,-0.552269
8.557705,0.581468,-0.683300
8.678236,0.547507,-0.508357
8.798767,0.538404,-0.464765
8.919298,0.601611,-0.458493
9.039829,0.529768,-0.319872
9.160360,0.536397,-0.551076
9.280891,0.497991,-0.436837
9.401422,0.489156,-0.392761
9.521953,0.463307,-0.343593
9.642484,0.395326,-0.399128
9.763015,0.426659,-0.458905
9.883546,0.357973,-0.175095
10.004077,0.349007,-0.336345
10.124608,0.323628,-0.356080
10.245139,0.328855,-0.354815
10.365671,0.306244,-0.221521
10.486202,0.267560,-0.081759
10.606733,0.312325,-0.353928
10.727264,0.276504,-0.223618
10.847795,0.261293,-0.144524
10.968326,0.231198,-0.231360
11.088857,0.246754,-0.235904
11.209388,0.236528,-0.214126
11.329919,0.203889,-0.104133
11.450450,0.209985,-0.122347
11.570981,0.194324,-0.177982
11.691512,0.211707,-0.198756
11.812043,0.201346,-0.271116
11.932574,0.180218,-0.163310
12.053105,0.147438,0.015555
12.173636,0.165472,-0.153528
12.294167,0.149081,-0.248911
12.414698,0.128197,-0.100090
12.535229,0.147198,0.081829
12.655760,0.110701,-0.010057
12.776292,0.118558,-0.215891
12.896823,0.098661,-0.100642
13.017354,0.100153,-0.115359
13.137885,0.121726,-0.089113
13.258416,0.112351,-0.023037
13.378947,0.107730,-0.041094
13.499478,0.095471,-0.002719
13.620009,0.072260,-0.132706
13.740540,0.041732,-0.173419
13.861071,0.071288,-0.127257
13.981602,0.082541,-0.089952
14.102133,0.090441,-0.041216
14.222664,0.092498,-0.046231
14.343195,0.078066,-0.055814
14.463726,0.067579,0.037145
14.584257,0.051507,0.047436
14.704788,0.052546,-0.069500
14.825319,0.036350,-0.035676
14.945850,0.059548,-0.072608
15.066382,0.043596,-0.093024
15.186913,0.033667,-0.102822
15.307444,0.049564,-0.086916
15.427975,0.032152,-0.028384
15.548506,0.039936,-0.153780
15.669037,0.027774,-0.056038
15.789568,0.037365,0.005033
15.910099,0.032011,-0.114695
16.030630,0.040451,-0.063049
16.151161,0.039485,-0.024730
16.271692,0.034258,0.024583
16.392223,0.064897,0.002954
16.512754,0.032708,-0.072243
16.633285,0.051581,-0.027210
16.753816,0.049964,-0.034763
16.874347,0.036692,-0.083026
16.994878,0.043016,-0.044341
17.115409,0.032101,-0.006649
17.235940,0.056971,-0.045049
17.356472,0.026797,-0.098859
17.477003,0.036426,-0.076827
17.597534,0.041616,-0.079291
17.718065,0.048372,-0.057872
17.838596,0.068394,-0.035078
17.959127,0.031714,-0.100782
18.079658,0.050772,0.037214
18.200189,0.038373,-0.004436
18.320720,0.024074,-0.133027
18.441251,0.030085,-0.083180
18.561782,0.017084,-0.161919
18.682313,0.021163,0.000459
18.802844,0.024397,-0.015684
18.923375,0.034957,-0.102184
19.043906,0.023433,0.044572
19.164437,0.030358,-0.006255
19.284968,0.035824,0.012940
19.405499,0.029544,-0.118766
19.526030,0.040471,-0.131894
19.646562,0.037051,0.026019
19.767093,0.023881,-0.043413
19.887624,0.009526,-0.052630
20.008155,0.015616,-0.069028
20.128686,0.034005,-0.019066
20.249217,0.041872,-0.056564
20.369748,0.038813,-0.194967
20.490279,0.041420,-0.059945
20.610810,0.021423,0.135639
20.731341,0.009017,0.043672
20.851872,0.014373,-0.065384
20.972403,0.003951,-0.017809
21.092934,0.003124,-0.069786
21.213465,-0.017724,-0.029127
21.333996,-0.018126,-0.030139
21.454527,-0.001430,-0.013909
21.575058,0.022423,0.090967
21.695589,0.020476,-0.067769
21.816120,-0.010999,-0.085735
21.936652,0.009447,0.014676
22.057183,0.003292,-0.075756
22.177714,-0.011268,-0.096401
22.298245,-0.017558,-0.011485
22.418776,-0.007710,-0.005719
22.539307,0.003671,0.061326
22.659838,-0.001734,0.018693
22.780369,0.019263,-0.140397
22.900900,-0.007954,0.007770
23.021431,-0.007071,0.044715
23.141962,0.000148,0.038370
23.262493,-0.018196,0.119399
23.383024,-0.014060,0.016624
23.503555,-0.022710,0.029785
23.624086,-0.022294,0.049335
23.744617,-0.036457,-0.026583
23.865148,-0.024188,-0.025807
23.985679,-0.017701,0.065909
24.106210,-0.025095,0.035711
24.226742,-0.027257,-0.058280
24.347273,-0.025242,-0.065845
24.467804,-0.015733,-0.036578
24.588335,-0.042534,0.093994
24.708866,-0.024430,0.037771
24.829397,-0.029351,-0.054583
24.949928,-0.044020,0.014160
25.070459,-0.032458,0.066988
25.190990,-0.035782,0.036700
25.311521,-0.021870,-0.035355
25.432052,-0.046163,0.062417
25.552583,-0.042013,0.090501
25.673114,-0.041032,0.104618
25.793645,-0.052314,0.113362
25.914176,-0.032608,-0.032811
26.034707,-0.024031,-0.015752
26.155238,-0.026922,0.004828
26.275769,-0.036771,-0.016689
26.396300,-0.023703,0.052234
26.516832,-0.047336,0.059811
26.637363,-0.034271,0.085850
26.757894,-0.016970,0.076572
26.878425,-0.040058,-0.087891
26.998956,-0.029379,-0.043331
27.119487,-0.054333,0.061687
27.240018,-0.040522,-0.029382
27.360549,-0.037987,0.004454
27.481080,-0.060077,0.031239
27.601611,-0.044353,0.081455
27.722142,-0.048630,0.116749
27.842673,-0.040455,0.032783
27.963204,-0.025045,0.045617
28.083735,-0.017429,0.056141
28.204266,-0.048912,0.048453
28.324797,-0.044309,0.006366
28.445328,-0.015565,0.047806
28.565859,-0.047532,0.051982
28.686390,-0.041920,-0.033875
28.806922,-0.011952,0.009382
28.927453,-0.016874,0.020171
29.047984,-0.031498,0.049298
29.168515,-0.023109,0.015927
29.289046,-0.027757,-0.025070
29.409577,-0.034653,0.017268
29.530108,-0.018343,0.032138
29.650639,-0.018791,0.079352
29.771170,-0.028863,0.070525
29.891701,-0.041629,0.066933
30.012232,-0.044153,0.029387
30.132763,-0.057596,0.027578
30.253294,-0.033441,0.095584
30.373825,0.005784,0.034670
30.494356,-0.023519,-0.012448
30.614887,-0.033232,0.028288
30.735418,-0.023598,0.041198
30.855949,-0.025232,0.001446
30.976480,0.002525,-0.015992
31.097012,0.027697,-0.014405
31.217543,-0.003637,0.029425
31.338074,-0.033255,0.012140
31.458605,-0.042542,-0.009847
31.579136,-0.061694,0.058407
31.699667,-0.041742,-0.011472
31.820198,-0.001019,0.005082
31.940729,0.004747,0.091884
32.061260,-0.032738,0.066834
32.181791,-0.013712,0.033841
32.302322,0.010874,0.004017
32.422853,-0.015806,0.030505
32.543384,-0.002648,0.028325
32.663915,-0.006472,-0.007196
32.784446,-0.005951,-0.022577
32.904977,-0.018723,0.015144
33.025508,-0.013695,-0.011433
33.146039,0.016257,-0.026416
33.266570,-0.025801,0.041466
33.387102,-0.027476,0.017987
33.507633,-0.023928,0.044766
33.628164,-0.015409,0.028674
33.748695,0.013792,0.027491
33.869226,-0.010807,0.020774
33.989757,-0.002912,-0.038184
34.110288,0.006906,0.031666
34.230819,-0.021679,-0.006122
34.351350,-0.025989,-0.005843
34.471881,-0.001542,0.002198
34.592412,0.026857,-0.061598
34.712943,0.022052,-0.011718
34.833474,-0.017865,-0.006352
34.954005,-0.012762,0.026442
35.074536,-0.004727,0.042881
35.195067,-0.020949,-0.023301
35.315598,-0.005399,-0.001815
35.436129,0.008688,0.038183
35.556660,0.043696,0.009531
35.677191,-0.004442,0.008225
35.797723,-0.067763,0.019740
35.918254,-0.009360,0.020873
36.038785,0.007400,0.026346
36.159316,0.006024,-0.031222
36.279847,-0.006071,-0.029229
36.400378,-0.017764,0.015842
36.520909,0.010829,-0.015290
36.641440,-0.020650,-0.001817
36.761971,-0.015658,0.049890
36.882502,0.040531,0.009622
37.003033,0.033411,-0.013570
37.123564,-0.015855,0.003105
37.244095,-0.061889,-0.002610
37.364626,-0.015278,0.019129
37.485157,0.038876,-0.036957
37.605688,-0.002904,0.003896
37.726219,0.035274,0.097984
37.846750,0.033719,0.000590
37.967281,-0.036547,-0.100962
38.087813,-0.044787,-0.106045
38.208344,-0.078645,-0.017522
38.328875,0.013290,0.017274
38.449406,0.058066,-0.038892
38.569937,0.026860,-0.082349
38.690468,0.042973,0.010682
38.810999,-0.041421,0.059317
38.931530,-0.014927,-0.057091
39.052061,-0.035873,-0.006464
39.172592,-0.033814,0.014477
39.293123,0.088651,-0.002500
39.413654,0.046376,-0.017854
39.534185,0.022641,0.029686
39.654716,-0.047031,0.122772
39.775247,-0.034382,-0.105068
39.895778,-0.004544,-0.121499
40.016309,-0.047462,-0.022152
40.136840,0.125238,-0.071869
40.257371,0.063448,-0.057212
40.377903,-0.029897,-0.125453
40.498434,0.026487,-0.057360
40.618965,-0.053786,-0.005055
40.739496,0.041128,-0.035427
40.860027,0.038558,-0.000657
40.980558,-0.045075,0.040245
41.101089,0.040509,0.085279
41.221620,0.035346,0.029180
41.342151,0.000908,-0.016756
41.462682,-0.041996,0.017071
41.583213,0.001714,0.073888
41.703744,0.038435,0.018979
41.824275,-0.031163,-0.060376
41.944806,0.062221,-0.008654
42.065337,0.070148,0.025797
42.185868,-0.026129,-0.021780
42.306399,0.006400,-0.078982
42.426930,-0.000618,-0.036393
42.547461,-0.004219,-0.022334
42.667993,-0.004947,-0.057711
42.788524,-0.003563,-0.024500
42.909055,0.046008,0.013389
43.029586,0.008368,-0.002511
43.150117,-0.000589,-0.051485
43.270648,0.007349,-0.037601
43.391179,-0.014470,0.005016
43.511710,0.032394,0.014202
43.632241,-0.002612,-0.016570
43.752772,-0.010961,-0.003336
43.873303,0.037119,0.006057
43.993834,0.002865,-0.036100
44.114365,0.017909,-0.002066
44.234896,0.019014,0.001045
44.355427,0.017394,-0.014325
44.475958,0.020518,0.003933
44.596489,-0.019819,0.006851
44.717020,0.008125,-0.003484
44.837551,0.007588,-0.035308
44.958083,-0.000438,-0.025884
45.078614,0.017981,0.012551
45.199145,0.007549,0.013981
45.319676,0.028239,-0.024128
45.440207,0.012947,0.003342
45.560738,-0.016734,0.026692
45.681269,0.009545,-0.038118
45.801800,0.021662,-0.064333
45.922331,0.012843,-0.032179
46.042862,0.014270,-0.003803
46.163393,0.006101,-0.020201
46.283924,0.005701,-0.031627
46.404455,-0.000696,0.000475
46.524986,-0.009554,0.022544
46.645517,0.016159,-0.029206
46.766048,0.022185,-0.006993
46.886579,0.030826,0.068740
47.007110,0.012825,0.017524
47.127641,-0.016475,0.005204
47.248173,0.012851,-0.002258
47.368704,0.000932,-0.015568
47.489235,0.001623,-0.019517
47.609766,0.018896,-0.066541
47.730297,0.011003,-0.038765
47.850828,0.029188,-0.037784
47.971359,0.006732,-0.030439
48.091890,-0.010310,0.009906
48.212421,0.000787,0.011067
48.332952,0.007908,0.003022
48.453483,0.018164,0.030832
48.574014,-0.007833,0.088409
48.694545,0.007639,0.060224
48.815076,0.031988,0.040956
48.935607,0.000267,0.040896
49.056138,0.016385,0.001395
49.176669,0.026872,-0.045623
49.297200,0.011908,-0.068131
49.417731,0.012805,-0.040537
49.538263,-0.027555,-0.070528
49.658794,-0.028416,-0.097790
49.779325,0.007580,-0.039022
49.899856,0.016565,0.027650
50.020387,0.030472,0.020558
50.140918,0.001027,0.003569
50.261449,-0.014125,0.079143
50.381980,-0.003461,0.119705
50.502511,-0.046457,0.040183
50.623042,-0.017472,0.005954
50.743573,0.027571,0.039462
50.864104,0.008830,-0.007438
50.984635,0.018388,-0.034830
51.105166,-0.015578,-0.052751
51.225697,0.003515,-0.055785
51.346228,0.031191,-0.008216
51.466759,-0.028422,-0.028138
51.587290,-0.011690,-0.017210
51.707821,-0.013878,-0.020079
51.828353,0.032349,0.033845
51.948884,0.080990,0.078027
52.069415,0.026506,-0.006556
52.189946,0.018146,0.016428
52.310477,-0.047377,-0.003702
52.431008,-0.047493,-0.029216
52.551539,0.010039,0.001610
52.672070,0.018170,-0.020363
52.792601,0.039841,0.015045
52.913132,-0.020702,0.000180
53.033663,-0.033850,-0.031895
53.154194,-0.015587,-0.002072
53.274725,-0.016295,-0.004226
53.395256,0.027022,-0.022938
53.515787,0.039367,0.000163
53.636318,0.024689,0.032180
53.756849,-0.027036,0.026170
53.877380,-0.052280,0.013797
53.997911,-0.013436,0.020375
54.118443,0.010892,0.039350
54.238974,0.022568,0.006214
54.359505,0.044150,-0.025933
54.480036,0.015180,-0.003930
54.600567,-0.015366,0.007290
54.721098,-0.021350,-0.004715
54.841629,-0.035229,-0.018869
54.962160,0.013905,-0.009473
55.082691,0.006513,-0.000220
55.203222,-0.010600,0.010513
55.323753,0.010968,0.005965
55.444284,-0.010374,0.000180
55.564815,0.001248,0.015313
55.685346,-0.008607,0.012842
55.805877,0.004866,0.021343
55.926408,-0.001953,0.019696
56.046939,-0.028570,0.013402
56.167470,-0.006418,0.018457
56.288001,-0.022281,0.001629
56.408533,0.013493,-0.006129
56.529064,0.031103,0.011703
56.649595,0.002472,0.000085
56.770126,0.000751,-0.019192
56.890657,-0.013879,-0.003615
57.011188,-0.014343,-0.007390
57.131719,-0.011740,0.014712
57.252250,-0.007674,0.024087
57.372781,0.008545,-0.001753
57.493312,0.016117,0.015744
57.613843,-0.004052,0.018105
57.734374,-0.008317,0.023468
57.854905,-0.016092,0.024199
57.975436,-0.013152,0.018349
58.095967,0.008439,0.028060
58.216498,-0.012615,-0.000841
58.337029,0.004962,-0.024564
58.457560,-0.000249,-0.009716
58.578091,-0.018309,0.005192
58.698622,-0.010597,-0.009158
58.819154,-0.014069,-0.016072
58.939685,0.018555,0.000534
59.060216,-0.009939,0.013494
59.180747,-0.022496,-0.000975
59.301278,0.013258,-0.018768
59.421809,-0.007065,0.014733
59.542340,-0.017420,0.037314
59.662871,-0.013865,0.019580
59.783402,-0.010208,0.009015
59.903933,-0.001940,0.020690
60.024464,-0.005123,0.017351
60.144995,0.002450,-0.006738
60.265526,0.017801,-0.002041
60.386057,-0.001920,0.017161
60.506588,-0.013530,0.016076
60.627119,-0.021068,-0.004797
60.747650,-0.025790,-0.001582
60.868181,0.003280,0.005404
60.988712,-0.001879,-0.000450
61.109244,0.010209,0.000138
61.229775,0.012183,-0.009192
61.350306,-0.011595,0.002965
61.470837,-0.012094,0.019996
61.591368,-0.025226,0.017622
61.711899,-0.002927,0.003461
61.832430,-0.003429,0.007094
61.952961,-0.009506,0.018809
62.073492,0.010390,-0.000730
62.194023,-0.011308,-0.004691
62.314554,-0.012261,0.002887
62.435085,0.000496,0.009987
62.555616,-0.003176,0.006044
62.676147,-0.004166,-0.006413
62.796678,-0.002682,0.003181
62.917209,-0.009881,0.013930
63.037740,-0.020834,0.009069
63.158271,-0.008019,0.002158
63.278802,0.012826,0.011076
63.399334,0.007444,0.003736
63.519865,-0.002963,0.016116
63.640396,-0.003671,0.025441
63.760927,-0.020815,0.000364
63.881458,-0.018373,0.007554
64.001989,-0.005816,0.001373
64.122520,0.002568,0.003652
64.243051,0.012129,0.006850
64.363582,-0.004398,-0.008311
64.484113,-0.007919,-0.003461
64.604644,-0.009262,-0.008979
64.725175,-0.007295,0.001542
64.845706,0.005370,-0.001227
64.966237,0.001593,-0.006358
65.086768,0.009501,0.007612
65.207299,0.002056,0.008412
65.327830,-0.020065,0.013525
65.448361,-0.009217,-0.000521
65.568892,0.001977,-0.002902
65.689424,0.003393,0.009907
65.809955,0.006256,0.007752
65.930486,-0.000510,0.007952
66.051017,0.005803,0.007976
66.171548,-0.007753,0.008092
66.292079,-0.018878,0.002836
66.412610,0.004324,-0.000445
66.533141,-0.002592,-0.009267
66.653672,0.002135,-0.004663
66.774203,0.006222,0.013693
66.894734,-0.001275,0.005728
67.015265,0.010423,0.008749
67.135796,-0.002996,0.010742
67.256327,-0.007368,0.005354
67.376858,-0.011059,0.014110
67.497389,-0.011102,-0.000307
67.617920,0.009149,-0.002072
67.738451,0.002169,0.003430
67.858982,0.005826,-0.006934
67.979514,0.016509,-0.001064
68.100045,-0.000601,-0.004974
68.220576,-0.003014,-0.004557
68.341107,-0.006196,-0.002144
68.461638,-0.012929,-0.006003
68.582169,0.004746,0.000274
68.702700,0.003791,-0.003784
68.823231,0.003780,0.006573
68.943762,0.005351,0.006318
69.064293,-0.001973,-0.004724
69.184824,0.004073,0.008126
69.305355,-0.004464,0.009125
69.425886,0.001046,0.012561
69.546417,0.001165,0.014324
69.666948,-0.008030,0.002431
69.787479,0.001282,-0.000165
69.908010,0.002014,0.003941
70.028541,0.006601,0.004951
70.149072,0.006444,-0.005060
70.269604,0.002344,-0.003795
70.390135,-0.001525,0.003218
70.510666,-0.002841,-0.000317
70.631197,-0.003404,-0.001124
70.751728,-0.002362,-0.003751
70.872259,0.005855,0.001332
70.992790,0.006539,0.003592
71.113321,0.007596,0.004407
71.233852,0.000713,0.015376
71.354383,0.000164,-0.000356
71.474914,-0.003266,-0.003341
71.595445,-0.002187,0.007229
71.715976,0.007719,-0.007565
71.836507,0.005246,0.001121
71.957038,0.012752,0.002949
72.077569,-0.003589,-0.003473
72.198100,-0.009553,0.000810
72.318631,0.003770,-0.008139
72.439162,0.004596,0.004075
72.559694,0.009623,0.006097
72.680225,0.005892,-0.002566
72.800756,0.011104,0.002289
72.921287,0.001530,-0.003284
73.041818,-0.007958,-0.003335
73.162349,0.001674,0.001100
73.282880,0.004700,0.000487
73.403411,0.007738,-0.003075
73.523942,0.004068,0.004388
73.644473,0.000797,0.005501
73.765004,0.003194,-0.007375
73.885535,0.007967,-0.007248
74.006066,0.000370,-0.004314
74.126597,0.003847,-0.004596
74.247128,0.009399,-0.012404
74.367659,-0.001937,-0.003631
74.488190,0.000448,0.003899
74.608721,0.005146,-0.012273
74.729252,0.015814,-0.006189
74.849784,0.009163,-0.001472
74.970315,0.000356,-0.000217
75.090846,0.003960,0.003872
75.211377,-0.005872,-0.004926
75.331908,0.001037,0.000682
75.452439,0.001415,0.004232
75.572970,-0.001641,0.006278
75.693501,0.013272,0.013421
75.814032,0.006443,0.004724
75.934563,-0.006237,0.001022
76.055094,0.004447,0.003865
76.175625,0.003395,-0.004249
76.296156,0.001478,-0.004133
76.416687,0.002070,-0.000103
76.537218,-0.004229,-0.007257
76.657749,0.009185,-0.001431
76.778280,0.000594,0.004152
76.898811,-0.000142,-0.002622
77.019342,0.008520,-0.001224
77.139874,0.005941,-0.004273
77.260405,0.011545,-0.000987
77.380936,-0.013897,0.008683
77.501467,0.000966,-0.000046
77.621998,0.019632,-0.002287
77.742529,-0.004632,-0.001008
77.863060,0.006399,-0.007905
77.983591,0.010197,0.000674
78.104122,0.000304,0.000726
78.224653,-0.003255,-0.008517
78.345184,0.000270,-0.001514
78.465715,0.016999,-0.005283
78.586246,0.012599,-0.006962
78.706777,-0.001975,-0.001408
78.827308,-0.006658,-0.004672
78.947839,-0.010595,0.005506
79.068370,0.003000,0.002539
79.188901,0.009879,-0.002697
79.309432,0.010202,0.012002
79.429963,0.023607,0.009629
79.550495,-0.000859,0.003359
79.671026,-0.013230,-0.004932
79.791557,-0.003763,-0.010725
79.912088,-0.000368,-0.003620
80.032619,0.015514,-0.011038
80.153150,0.008949,-0.014246
80.273681,0.008011,-0.003834
80.394212,0.005237,-0.003272
80.514743,0.002065,-0.003629
80.635274,0.004343,-0.000685
80.755805,0.000850,-0.003498
80.876336,0.009041,0.004975
80.996867,-0.001495,0.008844
81.117398,-0.002883,0.001748
81.237929,0.001602,0.006343
81.358460,0.006333,-0.003548
81.478991,0.009836,-0.001679
81.599522,-0.001812,0.005093
81.720053,-0.001383,-0.007261
81.840585,-0.000796,0.002920
81.961116,0.002739,0.000659
82.081647,-0.004020,-0.004794
82.202178,-0.003609,-0.001347
82.322709,0.006450,-0.006375
82.443240,0.006458,0.006267
82.563771,0.000070,0.003079
82.684302,-0.007646,0.002289
82.804833,0.005437,0.015074
82.925364,-0.002510,0.005074
83.045895,-0.001850,0.001839
83.166426,0.006559,0.011534
83.286957,-0.001385,0.014803
83.407488,0.005731,0.003123
83.528019,-0.004842,-0.003080
83.648550,-0.000597,0.004928
83.769081,0.008147,0.001022
83.889612,0.000147,-0.004539
84.010143,-0.002206,-0.004033
84.130675,-0.003528,-0.001659
84.251206,0.003577,-0.007849
84.371737,-0.002140,-0.010933
84.492268,-0.003553,0.007282
84.612799,0.003648,0.004981
84.733330,-0.000416,0.004382
84.853861,-0.003225,0.020579
84.974392,-0.001067,0.012461
85.094923,-0.001080,0.006891
85.215454,-0.001929,0.002597
85.335985,-0.001089,0.006947
85.456516,-0.002692,0.013490
85.577047,-0.001501,-0.006954
85.697578,-0.004899,-0.003675
85.818109,-0.004255,0.002540
85.938640,-0.002423,-0.004839
86.059171,-0.003685,0.001676
86.179702,0.000185,-0.003633
86.300233,-0.000574,-0.003076
86.420765,-0.001778,0.003082
86.541296,-0.006574,-0.000339
86.661827,-0.003257,0.008691
86.782358,0.001128,0.013994
86.902889,-0.002816,0.007251
87.023420,-0.002566,0.007796
87.143951,-0.002977,0.008950
87.264482,-0.002149,0.005386
87.385013,-0.000680,0.004669
